book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
3,Leviticus,4,24,Leviticus 4:24,2,ו,וְ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,3,סמכ,סמך,verb.qal.perf,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,4,יד׳ו,יָד,suff,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,5,על,עַל_2,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,6,ראש,רֹאשׁ_1,subs,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,7,ה,הַ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,8,שעיר,שָׂעִיר_2,subs,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,9,ו,וְ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,10,שחט,שׁחט_1,verb.qal.perf,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,11,את׳ו,אֵת_1,suff,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,12,ב,בְּ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,13,מקומ,מָקֹום,subs,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,14,אשר,אֲשֶׁר,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,15,ישחט,שׁחט_1,verb.qal.impf,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,16,את,אֵת_1,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,17,ה,הַ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,18,עלה,עֹלָה,subs,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,19,ל,לְ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,20,פני,פָּנֶה,subs,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,21,יהוה,יהוה,subs,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,22,חטאת,חַטָּאת,subs,,11QPaleoLev,DSS
3,Leviticus,4,24,Leviticus 4:24,23,הוא,הוּא,pron,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,1,ו,וְ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,2,לקח,לקח,verb.qal.perf,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,3,ה,הַ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,4,כהנ,כֹּהֵן,subs,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,5,מ,מִן,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,6,דמ,דָּם,subs,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,7,ה,הַ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,8,חטאת,חַטָּאת,subs,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,9,ב,בְּ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,10,אצבע׳ו,אֶצְבַּע,suff,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,11,ו,וְ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,12,נתנ,נתן,verb.qal.perf,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,13,על,עַל_2,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,14,קרנת,קֶרֶן,subs,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,15,מזבח,מִזְבֵּחַ,subs,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,16,ו,וְ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,17,שחט,שׁחט_1,verb.qal.perf,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,18,את,אֵת_1,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,19,ה,הַ,ptcl,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,20,עלה,עֹלָה,subs,,11QPaleoLev,DSS
3,Leviticus,4,25,Leviticus 4:25,21,ו,וְ,ptcl,,11QPaleoLev,DSS
