book_order,book,chapter,verse,reference,position,word_text,lemma,morph,strong,manuscript,tradition
24,Jeremiah,1,1,Jeremiah 1:1,1,Verba,,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,2,Jeremiæ,,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,3,filii,,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,4,"Helciæ,",,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,5,de,,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,6,sacerdotibus,,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,7,qui,,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,8,fuerunt,,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,9,in,,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,10,"Anathoth,",,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,11,in,,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,12,terra,,,,Clementine,VUL
24,Jeremiah,1,1,Jeremiah 1:1,13,Benjamin.,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,1,Quod,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,2,factum,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,3,est,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,4,verbum,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,5,Domini,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,6,ad,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,7,eum,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,8,in,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,9,diebus,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,10,Josiæ,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,11,filii,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,12,"Amon,",,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,13,regis,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,14,"Juda,",,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,15,in,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,16,tertiodecimo,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,17,anno,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,18,regni,,,,Clementine,VUL
24,Jeremiah,1,2,Jeremiah 1:2,19,ejus.,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,1,Et,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,2,factum,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,3,est,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,4,in,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,5,diebus,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,6,Joakim,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,7,filii,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,8,"Josiæ,",,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,9,regis,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,10,"Juda,",,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,11,usque,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,12,ad,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,13,consummationem,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,14,undecimi,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,15,anni,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,16,"Sedeciæ,",,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,17,filii,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,18,"Josiæ,",,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,19,regis,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,20,"Juda,",,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,21,usque,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,22,ad,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,23,transmigrationem,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,24,"Jerusalem,",,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,25,in,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,26,mense,,,,Clementine,VUL
24,Jeremiah,1,3,Jeremiah 1:3,27,quinto.,,,,Clementine,VUL
24,Jeremiah,1,4,Jeremiah 1:4,1,Et,,,,Clementine,VUL
24,Jeremiah,1,4,Jeremiah 1:4,2,factum,,,,Clementine,VUL
24,Jeremiah,1,4,Jeremiah 1:4,3,est,,,,Clementine,VUL
24,Jeremiah,1,4,Jeremiah 1:4,4,verbum,,,,Clementine,VUL
24,Jeremiah,1,4,Jeremiah 1:4,5,Domini,,,,Clementine,VUL
24,Jeremiah,1,4,Jeremiah 1:4,6,ad,,,,Clementine,VUL
24,Jeremiah,1,4,Jeremiah 1:4,7,"me,",,,,Clementine,VUL
24,Jeremiah,1,4,Jeremiah 1:4,8,dicens,,,,Clementine,VUL
24,Jeremiah,1,4,Jeremiah 1:4,9,:,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,1,Priusquam,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,2,te,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,3,formarem,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,4,in,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,5,"utero,",,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,6,novi,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,7,"te,",,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,8,et,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,9,antequam,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,10,exires,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,11,de,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,12,"vulva,",,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,13,sanctificavi,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,14,"te,",,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,15,et,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,16,prophetam,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,17,in,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,18,gentibus,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,19,dedi,,,,Clementine,VUL
24,Jeremiah,1,5,Jeremiah 1:5,20,te.,,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,1,Et,,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,2,dixi,,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,3,:,,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,4,"A,",,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,5,"a,",,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,6,"a,",,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,7,Domine,,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,8,"Deus,",,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,9,ecce,,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,10,nescio,,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,11,"loqui,",,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,12,quia,,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,13,puer,,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,14,ego,,,,Clementine,VUL
24,Jeremiah,1,6,Jeremiah 1:6,15,sum.,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,1,Et,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,2,dixit,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,3,Dominus,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,4,ad,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,5,me,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,6,:,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,7,Noli,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,8,dicere,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,9,:,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,10,Puer,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,11,sum,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,12,:,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,13,quoniam,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,14,ad,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,15,omnia,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,16,quæ,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,17,mittam,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,18,te,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,19,"ibis,",,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,20,et,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,21,universa,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,22,quæcumque,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,23,mandavero,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,24,tibi,,,,Clementine,VUL
24,Jeremiah,1,7,Jeremiah 1:7,25,loqueris.,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,1,Ne,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,2,timeas,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,3,a,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,4,facie,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,5,"eorum,",,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,6,quia,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,7,tecum,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,8,ego,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,9,sum,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,10,ut,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,11,eruam,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,12,"te,",,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,13,dicit,,,,Clementine,VUL
24,Jeremiah,1,8,Jeremiah 1:8,14,Dominus.,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,1,Et,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,2,misit,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,3,Dominus,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,4,manum,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,5,"suam,",,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,6,et,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,7,tetigit,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,8,os,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,9,"meum,",,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,10,et,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,11,dixit,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,12,Dominus,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,13,ad,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,14,me,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,15,:,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,16,Ecce,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,17,dedi,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,18,verba,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,19,mea,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,20,in,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,21,ore,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,22,tuo,,,,Clementine,VUL
24,Jeremiah,1,9,Jeremiah 1:9,23,:,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,1,ecce,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,2,constitui,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,3,te,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,4,hodie,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,5,super,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,6,gentes,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,7,et,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,8,super,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,9,"regna,",,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,10,ut,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,11,"evellas,",,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,12,et,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,13,"destruas,",,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,14,et,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,15,"disperdas,",,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,16,et,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,17,"dissipes,",,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,18,et,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,19,"ædifices,",,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,20,et,,,,Clementine,VUL
24,Jeremiah,1,10,Jeremiah 1:10,21,plantes.,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,1,Et,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,2,factum,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,3,est,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,4,verbum,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,5,Domini,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,6,ad,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,7,"me,",,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,8,dicens,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,9,:,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,10,Quid,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,11,tu,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,12,"vides,",,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,13,Jeremia,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,14,?,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,15,Et,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,16,dixi,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,17,:,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,18,Virgam,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,19,vigilantem,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,20,ego,,,,Clementine,VUL
24,Jeremiah,1,11,Jeremiah 1:11,21,video.,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,1,Et,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,2,dixit,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,3,Dominus,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,4,ad,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,5,me,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,6,:,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,7,Bene,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,8,vidisti,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,9,:,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,10,quia,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,11,vigilabo,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,12,ego,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,13,super,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,14,verbo,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,15,"meo,",,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,16,ut,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,17,faciam,,,,Clementine,VUL
24,Jeremiah,1,12,Jeremiah 1:12,18,illud.,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,1,Et,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,2,factum,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,3,est,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,4,verbum,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,5,Domini,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,6,secundo,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,7,ad,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,8,"me,",,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,9,dicens,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,10,:,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,11,Quid,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,12,tu,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,13,vides,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,14,?,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,15,Et,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,16,dixi,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,17,:,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,18,Ollam,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,19,succensam,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,20,ego,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,21,"video,",,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,22,et,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,23,faciem,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,24,ejus,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,25,a,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,26,facie,,,,Clementine,VUL
24,Jeremiah,1,13,Jeremiah 1:13,27,aquilonis.,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,1,Et,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,2,dixit,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,3,Dominus,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,4,ad,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,5,me,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,6,:,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,7,Ab,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,8,aquilone,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,9,pandetur,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,10,malum,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,11,super,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,12,omnes,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,13,habitatores,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,14,terræ,,,,Clementine,VUL
24,Jeremiah,1,14,Jeremiah 1:14,15,:,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,1,quia,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,2,ecce,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,3,ego,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,4,convocabo,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,5,omnes,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,6,cognationes,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,7,regnorum,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,8,"aquilonis,",,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,9,ait,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,10,Dominus,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,11,:,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,12,et,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,13,"venient,",,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,14,et,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,15,ponent,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,16,unusquisque,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,17,solium,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,18,suum,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,19,in,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,20,introitu,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,21,portarum,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,22,"Jerusalem,",,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,23,et,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,24,super,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,25,omnes,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,26,muros,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,27,ejus,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,28,in,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,29,"circuitu,",,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,30,et,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,31,super,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,32,universas,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,33,urbes,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,34,Juda,,,,Clementine,VUL
24,Jeremiah,1,15,Jeremiah 1:15,35,:,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,1,et,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,2,loquar,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,3,judicia,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,4,mea,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,5,cum,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,6,eis,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,7,super,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,8,omnem,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,9,malitiam,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,10,eorum,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,11,qui,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,12,dereliquerunt,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,13,"me,",,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,14,et,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,15,libaverunt,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,16,diis,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,17,"alienis,",,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,18,et,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,19,adoraverunt,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,20,opus,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,21,manuum,,,,Clementine,VUL
24,Jeremiah,1,16,Jeremiah 1:16,22,suarum.,,,,Clementine,VUL
24,Jeremiah,1,17,Jeremiah 1:17,1,Tu,,,,Clementine,VUL
24,Jeremiah,1,17,Jeremiah 1:17,2,"ergo,",,,,Clementine,VUL
24,Jeremiah,1,17,Jeremiah 1:17,3,accinge,,,,Clementine,VUL
24,Jeremiah,1,17,Jeremiah 1:17,4,lumbos,,,,Clementine,VUL
24,Jeremiah,1,17,Jeremiah 1:17,5,"tuos,",,,,Clementine,VUL
24,Jeremiah,1,17,Jeremiah 1:17,6,et,,,,Clementine,VUL
24,Jeremiah,1,17,Jeremiah 1:17,7,"surge,",,,,Clementine,VUL
24,Jeremiah,1,17,Jeremiah 1:17,8,et,,,,Clementine,VUL
24,Jeremiah,1,17,Jeremiah 1:17,9,loquere,,,,Clementine,VUL
24,Jeremiah,1,17,Jeremiah 1:17,10,ad,,,,Clementine,VUL
